dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_ret,sp500_ma10,sp500_vol10,djia_ret,djia_ma10,djia_vol10,hsi_ret,hsi_ma10,hsi_vol10
1994-01-27,10.3,477.049988,346500000.0,3926.3,27.77,11470.400391,-0.207295,2.98,3,80.0098049317985,86.8213272094727,473.200012,0.008136043749719768,473.96000059999994,0.004258695727025205,0.004682702149437112,3894.1020000000003,0.003305852504129822,0.020534608885461214,11247.390039200001,0.023285448443000213
1994-01-28,9.94,478.700012,313140000.0,3945.43,25.89,11377.799805,-0.195169,2.99,3,80.0098049317985,94.1466598510742,477.049988,0.00345880733991355,474.33900140000003,0.004103526693459138,0.004872271604309253,3901.925,0.0031111527556913665,-0.00807300380487641,11307.740039200002,0.017284993190255903
1994-01-31,10.63,481.609985,322870000.0,3978.36,26.45,11487.0,-0.138822,3.05,4,80.0098049317985,91.6685409545898,478.700012,0.006078907305312464,475.1700011,0.004120965758397117,0.008346365288447677,3912.732,0.0036532199554805325,0.009597654807743439,11377.1500001,0.017268272245190213
1994-02-01,10.65,479.619995,322510000.0,3964.01,23.15,11826.900391,-0.119314,3.1,4,94.5927035048737,73.161003112793,481.609985,-0.004131953368865404,475.7070006,0.004516629380859315,-0.003607013945444826,3922.1040000000003,0.00410638907774796,0.02959000531035083,11458.0700197,0.018275377872013762
1994-02-02,10.61,482.0,328960000.0,3975.54,26.99,11785.799805,-0.100474,3.13,4,94.5927035048737,88.6575317382812,479.619995,0.004962272267235113,476.47700180000004,0.004652611844641637,0.002908670765209953,3931.221,0.00408845816280977,-0.00347517816513232,11500.2700197,0.016384961125327602
1994-02-03,10.75,480.709991,318350000.0,3967.66,25.09,11851.099609,-0.0822925,3.2,4,94.5927035048737,87.1728363037109,482.0,-0.002676367219917042,477.0499998,0.0048484567692647805,-0.0019821206678841685,3938.791,0.004312057588800022,0.00554054922707059,11558.900000099999,0.015787249794118753
1994-02-04,15.25,469.809998,378380000.0,3871.42,34.48,12157.599609,-0.0647641,3.3,4,94.5927035048737,101.301765441895,480.709991,-0.022674779397293565,476.5589994999999,0.009006287830352427,-0.024256110654642726,3934.4849999999997,0.009118518450760067,0.025862579010578646,11628.7199219,0.01672297589067741
1994-02-07,13.96,471.76001,348270000.0,3906.32,36.37,11414.299805,-0.014337,3.31,3,94.5927035048737,118.462692260742,469.809998,0.0041506396379416,476.5380004,0.008967439800257465,0.009014780106524345,3933.8379999999997,0.009664678310919342,-0.06113869743248923,11610.1399415,0.026779988436335892
1994-02-08,13.66,471.049988,318180000.0,3906.03,30.97,11454.099609,0.00402651,3.32,3,94.5927035048737,182.707580566406,471.76001,-0.0015050491456450876,476.5509979,0.008950545393698096,-7.423866964306747e-05,3934.907,0.00954478368199739,0.0034868370973195617,11606.4598633,0.0266553092522777
1994-02-09,13.3,472.769989,332670000.0,3931.92,29.38,11504.0,0.0234604,3.32,3,94.5927035048737,133.264221191406,471.049988,0.003651419262959532,476.50799559999996,0.008887650642341769,0.006628213300973185,3937.2990000000004,0.009718387275261257,0.004356552911482403,11632.8999024,0.025530327344003585
